"campaign_id","campaign_name","start_date","end_date","budget","total_expenses","budget_diff"
1,"Brew Your Passion, Perfect Your Craft! Campaign","2022-12-23","2023-03-29","5045.00","16744.46","-11699.46"
2,"Craft Your Own Beer, One Kit at a Time! Campaign","2024-09-30","2024-10-26","25909.00","13462.72","12446.28"
3,"From Grain to Glass—Brew Like a Master! Campaign","2021-02-08","2021-04-09","42322.00","9113.15","33208.85"
4,"Unleash Your Inner Brewer with Our Premium Kits! Campaign","2021-06-23","2021-11-16","18016.00","13085.84","4930.16"
5,"Brew Bold, Brew Better with BrewMasters! Campaign","2022-03-27","2023-03-14","48744.00","5857.44","42886.56"
6,"Your Homebrew Journey Starts Here! Campaign","2022-06-17","2023-06-20","5024.00","24338.88","-19314.88"
7,"Fresh Ingredients, Perfect Brews—Every Time! Campaign","2023-11-03","2023-12-01","47008.00","10498.01","36509.99"
8,"Brew Like a Pro—Right in Your Kitchen! Campaign","2023-04-04","2023-05-03","26698.00","23696.21","3001.79"
9,"Tap into the Art of Home Brewing! Campaign","2019-11-10","2021-08-11","31904.00","12521.12","19382.88"
10,"Master the Craft of Beer Making with BrewMasters! Campaign","2020-03-12","2024-10-15","42777.00","13601.24","29175.76"
